82
0 3 6
1 2
2 1 3 4
3 0 2
4 2 12
5 7 9 10
6 0 7
7 5 6
8 9 10 11
9 5 8
10 5 8
11 8 13 14 15 17 18 20 58 59 60 63 64 66 67 68 79 80 81
12 4 13 14 15 71 79 80 81
13 11 12
14 11 12
15 11 12
16 17 18 45 57 58 59 60 69 70 72 74 75 76 77 78
17 11 16
18 11 16
19 21 22 23 24 26 27 47 48 49 50 57
20 11 21 22 23 24 25 29 30 31 35 36 37 41 42 43 44
21 19 20
22 19 20
23 19 20
24 19 20
25 20 26
26 19 25
27 19 28
28 27 29 30 31 38 39 40 41 42 43 44
29 20 28
30 20 28
31 20 28
32 33 38 39 40
33 32 34
34 33 35 36 37
35 20 34
36 20 34
37 20 34
38 28 32
39 28 32
40 28 32
41 20 28
42 20 28
43 20 28
44 20 28
45 16 51 52 54 56
46 47 48 49 50 51 52 53
47 19 46
48 19 46
49 19 46
50 19 46
51 45 46
52 45 46
53 46 55 56
54 45 55
55 53 54
56 45 53
57 16 19
58 11 16
59 11 16
60 11 16
61 62 64 65 67 68 69 70
62 61 63
63 11 62
64 11 61
65 61 66
66 11 65
67 11 61
68 11 61
69 16 61
70 16 61
71 12 72 73 76 77 78
72 16 71
73 71 74 75
74 16 73
75 16 73
76 16 71
77 16 71
78 16 71
79 11 12
80 11 12
81 11 12
